simple U Unarmed 3 20 2 B nonlethal,
simple L BattleAspergillum 6 20 2 B SeeText,
simple L BrassKnuckles 3 20 2 B Monk/SeeText,
simple L Cestus 4 19-20 2 B/P Monk/SeeText,
simple L Dagger 4 19-20 2 P/S NA,
simple L Gauntlet 3 20 2 B NA,
simple L LightMace 6 20 2 B NA,
simple L PunchingDagger 4 20 3 P NA,
simple L Sickle 6 20 2 S Trip,
simple L SpikedGauntlet 4 20 2 P NA,
simple L WoodenStake 4 20 2 P NA,
simple OH Club 6 20 2 B NA,
simple OH HeavyMace 8 20 2 B NA,
simple OH MereClub 4 20 2 B/P NA,
simple OH Morningstar 8 20 2 B/P NA,
simple OH Shortspear 6 20 2 P NA,
simple TH Bayonet 6 20 2 P NA,
simple TH BoarSpear 8 20 2 P Brace/SeeText,
simple TH Longspear 8 20 3 P Brace/Reach,
simple TH Quarterstaff 6 20 2 B Double/Monk,
simple TH Spear 8 20 3 P Brace,
simple R Blowgun 2 20 2 P NA,
simple R Dart 4 20 2 P NA,
simple R HeavyCrossbow 10 19-20 2 P NA,
simple R Javelin 6 20 2 P NA,
simple R LightCrossbow 8 19-20 2 P NA,
simple R Sling 4 20 2 B NA,
simple R UnderwaterHeavyCrossbow 10 19-20 2 P NA,
simple R UnderwaterLightCrossbow 8 19-20 2 P NA,

martial L ButterflySword 4 19-20 2 S Monk,
martial L Dogslicer 6 19-20 2 S Fragile,
martial L Gladius 6 19-20 2 P/S Performance,
martial L Handaxe 6 20 3 S NA,
martial L IronBrush 3 20 2 P NA,
martial L Jutte 6 20 2 B Disarm/Monk,
martial L Kerambit 3 20 3 S NA,
martial L Kukri 4 18-20 2 S NA,
martial L LightHammer 4 20 2 B NA,
martial L LightPick 4 20 4 P NA,
martial L LightShield 3 20 2 B NA,
martial L LungchuanTamo 4 20 2 P/S Monk,
martial L Sap 6 20 2 B Nonlethal,
martial L ShangGou 4 20 2 S DisarmTrip/Monk,
martial L Shortsword 6 19-20 2 P NA,
martial L SpikedArmor 6 20 2 P NA,
martial L SpikedLightShield 4 20 2 P NA,
martial L Starknife 4 20 3 P NA,
martial L ThrowingAxe 6 20 2 S NA,
martial L Tonfa 6 20 2 B Blocking/monk,
martial L WushuDart 3 20 2 P Monk,
martial OH Battleaxe 8 20 3 S NA,
martial OH DoubleChickenSabre 6 19-20 2 S Disarm/Monk,
martial OH HeavyPick 6 19-20 2 S NA,
martial OH HeavyShield 4 20 2 B NA,
martial OH Klar 6 20 2 S SeeText,
martial OH LightFlail 8 20 2 B Disarm/Trip,
martial OH Longsword 8 19-20 2 S NA,
martial OH Ning-RingBroadsword 8 20 3 S Monk,
martial OH Rapier 6 18-20 2 P NA,
martial OH Scimitar 6 18-20 2 S NA,
marital OH Scizore 10 20 2 P Performance,
martial OH Sibat 6 20 3 P/S Grapple,
martial OH SpikedHeavyShield 6 20 2 P NA,
martial OH SwordCane 6 20 2 P NA,
martial OH Terbutje 8 19-20 2 S Fragile,
martial OH Trident 8 20 2 P Brace,
martial OH Warhammer 8 20 3 B NA,
#STOPPED
martial TH Bardiche 10 19-20 2 S Brace/Reach/SeeText,
martial TH BecDeCorbin 10 20 3 B/P Brace/Reach/SeeText,
martial TH Bill 8 20 3 S Brace/Disarm/Reach/SeeText,
martial TH EarthBreaker 12 20 3 B NA,
martial TH Falchion 8 18-20 2 S NA,
martial TH Glaive 10 20 3 S Reach,
martial TH Glaive-Guisarme 10 20 3 S Brace/Reach/SeeText,
martial TH Greataxe 12 20 3 S NA,
martial TH Greatclub 10 20 2 B NA,
martial TH Greatsword 12 19-20 2 S NA,
martial TH Guisarme 8 20 3 S Reach/Trip,
martial TH Halberd 10 20 3 P/S Brace/Trip,
martial TH HeavyFlail 10 19-20 2 B Disarm/Trip,
martial TH HookedLace 8 20 4 P Reach/Trip,
martial TH HorseChopper 10 20 3 P/S Reach/Trip,
martial TH Lance 8 20 3 P Reach,
martial TH LucerneHammer 12 20 2 B/P Brace/Reach/SeeText,
martial TH Mattock 8 20 4 P Fragile,
martial TH MonksSpade 6 20 2 B/P/S Double/Monk,
martial TH Naginata 8 20 4 S Reach,
martial TH Nodachi 10 18-20 2 S/P Brace,
martial TH OgreHook 10 20 3 P Trip,
martial TH Ranseur 8 20 3 P Disarm/Reach,
martial TH Rhomphaia 8 20 3 P/S Brace/Fragile/Reach,
martial TH Sansetsukon 10 19-20 2 B Blocking/Disarm/Monk,
martial TH Scythe 8 20 4 P/S Trip,
martial TH Tepoztopilli 10 19-20 2 P/S Fragile/Reach,
martial TH TigerFork 8 20 2 P Brace/Monk,
martial TH Tri-PointDouble-EdgedSword 10 20 3 P Reach,
martial R Amentum 6 20 2 P Performance,
martial R Atlatl 6 20 2 P NA,
martial R Chakram 8 20 2 S NA,
martial R Comp-Longbow 8 20 2 P NA,
martial R Comp-Shortbow 6 20 3 P NA,
martial R HungaMunga 6 20 2 P NA,
martial R Longbow 8 20 3 P NA,
martial R Pilum 8 20 2 P SeeText,
martial R Shortbow 6 20 3 P NA,
martial R TubeArrowShooter 4 20 2 P NA,
#EXOTICS